SKU,Name,Description,Price,Cost Price,Category,Brand,Weight,Dimensions,Image URL,Tags,Is Active
UK021,Müller Corner Strawberry Yogurt,Creamy yogurt with strawberry pieces,0.85,0.42,Dairy,Müller,0.15,8x8x6,https://example.com/images/muller-strawberry.jpg,yogurt strawberry dairy,1
UK022,Monster Energy Drink 500ml,High caffeine energy drink,2.99,1.50,Beverages,Monster,0.5,6.6x6.6x17.8,https://example.com/images/monster-500ml.jpg,energy drink caffeine,1
UK023,Jacob's Cream Crackers 200g,Traditional cream crackers for cheese,1.50,0.75,Biscuits,Jacob's,0.2,18x12x3,https://example.com/images/cream-crackers.jpg,crackers cheese traditional,1
UK024,Innocent Smoothie Orange 250ml,Pure fruit smoothie with no added sugar,2.25,1.15,Beverages,Innocent,0.25,6x6x15,https://example.com/images/innocent-orange.jpg,smoothie fruit healthy,1
UK025,Pringles Original 165g,Stackable potato crisps original flavour,2.75,1.40,Snacks,Pringles,0.165,9x9x24,https://example.com/images/pringles-original.jpg,crisps stackable potato,1
UK026,Ben & Jerry's Cookie Dough 465ml,Premium ice cream with cookie dough pieces,5.50,2.75,Frozen,Ben & Jerry's,0.465,12x12x10,https://example.com/images/ben-jerry-cookie.jpg,ice cream premium frozen,1
UK027,Weetabix Original 24 Biscuits,Wholegrain wheat breakfast biscuits,3.25,1.65,Breakfast,Weetabix,0.43,25x18x6,https://example.com/images/weetabix-24.jpg,cereal wheat breakfast,1
UK028,Tetley Tea Bags 160 Pack,Quality black tea bags for everyday brewing,5.50,2.75,Beverages,Tetley,0.32,18x12x10,https://example.com/images/tetley-160.jpg,tea black everyday,1
UK029,Lurpak Spreadable Butter 500g,Danish spreadable butter blend,4.75,2.40,Dairy,Lurpak,0.5,15x10x5,https://example.com/images/lurpak-500g.jpg,butter spreadable danish,1
UK030,Haribo Starmix 140g,Mixed fruit flavoured gummy sweets,1.25,0.65,Confectionery,Haribo,0.14,15x10x3,https://example.com/images/haribo-starmix.jpg,sweets gummy fruit,1
UK031,Tropicana Orange Juice 950ml,Pure premium orange juice not from concentrate,3.25,1.65,Beverages,Tropicana,0.95,8x8x24,https://example.com/images/tropicana-950ml.jpg,orange juice premium,1
UK032,Philadelphia Cream Cheese 280g,Smooth and creamy soft cheese spread,2.75,1.40,Dairy,Philadelphia,0.28,12x8x5,https://example.com/images/philadelphia-280g.jpg,cheese cream spread,1
UK033,Dove Original Beauty Bar 90g,Moisturising beauty bar with ¼ moisturising cream,1.85,0.95,Personal Care,Dove,0.09,10x6x3,https://example.com/images/dove-bar-90g.jpg,soap beauty moisturising,1
UK034,Head & Shoulders Shampoo 400ml,Anti-dandruff shampoo for daily use,4.50,2.25,Personal Care,Head & Shoulders,0.4,8x6x20,https://example.com/images/head-shoulders-400ml.jpg,shampoo dandruff hair,1
UK035,Colgate Total Toothpaste 125ml,Advanced formula toothpaste for complete care,3.25,1.65,Personal Care,Colgate,0.125,18x4x4,https://example.com/images/colgate-125ml.jpg,toothpaste dental care,1
UK036,Always Ultra Pads 14 Pack,Ultra thin sanitary pads with wings,4.25,2.15,Personal Care,Always,0.2,25x15x8,https://example.com/images/always-ultra-14.jpg,sanitary pads feminine,1
UK037,Gillette Fusion Razors 4 Pack,Premium men's razors with 5 blade technology,15.50,7.75,Personal Care,Gillette,0.15,18x12x3,https://example.com/images/gillette-fusion-4.jpg,razors shaving men,1
UK038,L'Oreal Paris Shampoo 400ml,Elvive total repair 5 damage-erasing shampoo,5.25,2.65,Personal Care,L'Oreal,0.4,8x6x20,https://example.com/images/loreal-400ml.jpg,shampoo repair hair,1
UK039,Paracetamol Tablets 16 Pack,Pain relief tablets 500mg paracetamol,1.99,1.00,Health,Generic,0.05,12x8x2,https://example.com/images/paracetamol-16.jpg,paracetamol pain relief,1
UK040,Ibuprofen Tablets 16 Pack,Anti-inflammatory pain relief 200mg tablets,2.49,1.25,Health,Generic,0.05,12x8x2,https://example.com/images/ibuprofen-16.jpg,ibuprofen anti-inflammatory,1
UK041,Kleenex Tissues 70 Pack,Soft facial tissues in convenient box,2.25,1.15,Household,Kleenex,0.3,23x12x11,https://example.com/images/kleenex-70.jpg,tissues facial soft,1
UK042,Comfort Fabric Conditioner 1.26L,Concentrated fabric conditioner blue skies,4.75,2.40,Household,Comfort,1.26,12x8x28,https://example.com/images/comfort-1.26l.jpg,fabric conditioner laundry,1
UK043,Mr Muscle Oven Cleaner 300ml,Heavy duty oven and grill cleaner spray,3.99,2.00,Household,Mr Muscle,0.3,6x6x22,https://example.com/images/mr-muscle-300ml.jpg,oven cleaner spray,1
UK044,Dettol Disinfectant Spray 400ml,All-in-one disinfectant spray kills 99.9% germs,4.50,2.25,Household,Dettol,0.4,6x6x25,https://example.com/images/dettol-400ml.jpg,disinfectant spray cleaning,1
UK045,Duracell AA Batteries 8 Pack,Long-lasting alkaline AA batteries,8.99,4.50,Household,Duracell,0.24,15x10x3,https://example.com/images/duracell-aa-8.jpg,batteries alkaline power,1
UK046,Flash All Purpose Cleaner 1L,Lemon scented multi-surface cleaner,3.25,1.65,Household,Flash,1.0,10x8x26,https://example.com/images/flash-1l.jpg,cleaner multi-surface lemon,1
UK047,Ariel Washing Pods 38 Wash,3-in-1 washing capsules for brilliant cleaning,12.99,6.50,Household,Ariel,1.2,20x15x12,https://example.com/images/ariel-pods-38.jpg,washing pods capsules,1
UK048,Vanish Stain Remover 500ml,Oxi action stain remover for colours,4.75,2.40,Household,Vanish,0.5,8x6x22,https://example.com/images/vanish-500ml.jpg,stain remover oxi,1
UK049,Febreze Air Freshener 300ml,3Volution air freshener continuous fragrance,5.99,3.00,Household,Febreze,0.3,6x6x20,https://example.com/images/febreze-300ml.jpg,air freshener fragrance,1
UK050,Cillit Bang Limescale 750ml,Powerful limescale and grime remover,4.25,2.15,Household,Cillit Bang,0.75,8x8x26,https://example.com/images/cillit-bang-750ml.jpg,limescale cleaner bathroom,1
